Category,Category_binary,Rating,Reviews,Installs,Price
GAME,0,4.7,2066,100000,0.0
SPORTS,1,3.8,89,10000,0.0
GAME,0,4.2,21661,1000000,0.0
GAME,0,4.5,29940,1000000,0.0
SPORTS,1,4.5,75571,1000000,0.0
SPORTS,1,4.4,12858,500000,0.0
SPORTS,1,3.9,386,50000,0.0
GAME,0,4.6,5419676,100000000,0.0
SPORTS,1,4.4,122282,5000000,0.0
GAME,0,4.6,100609,1000000,0.0
GAME,0,4.3,1218055,100000000,0.0
GAME,0,4.7,142308,5000000,0.0
GAME,0,4.3,9951,1000000,0.0
SPORTS,1,4.4,132,10000,0.0
GAME,0,4.6,5418675,100000000,0.0
SPORTS,1,4.4,29864,1000000,0.0
SPORTS,1,4.7,12,500,0.0
GAME,0,4.7,57,1000,0.0
SPORTS,1,4.5,484,1000,4.99
SPORTS,1,4.7,499,50000,0.0
SPORTS,1,4.6,10198,100000,0.0
GAME,0,4.5,70,1000,0.0
GAME,0,4.6,760628,10000000,0.0
GAME,0,4.4,3058687,100000000,0.0
SPORTS,1,3.6,853,100000,0.0
SPORTS,1,4.4,20547,1000000,0.0
GAME,0,4.2,401643,10000000,0.0
GAME,0,4.2,4878,100000,0.0
GAME,0,4.6,29445,5000000,0.0
SPORTS,1,4.6,9873470,100000000,0.0
GAME,0,4.3,174755,10000000,0.0
SPORTS,1,4.6,216,10000,0.0
GAME,0,4.2,3816799,100000000,0.0
SPORTS,1,4.5,22,1000,0.0
GAME,0,4.6,8778,100000,0.0
GAME,0,4.2,145353,10000000,0.0
GAME,0,4.2,177542,10000000,0.0
GAME,0,4.4,208501,1000000,0.0
SPORTS,1,4.8,51227,1000000,0.0
SPORTS,1,4.6,2167,500000,0.0
GAME,0,4.6,190274,5000000,0.0
GAME,0,3.7,7885,500000,0.0
GAME,0,4.3,931595,10000000,0.0
GAME,0,4.2,51787,5000000,0.0
GAME,0,3.9,1987,100000,0.0
GAME,0,4.3,8649,1000000,0.0
GAME,0,4.5,2311785,10000000,0.0
GAME,0,4.3,101762,1000000,0.0
SPORTS,1,4.0,214,10000,0.0
SPORTS,1,3.9,63938,5000000,0.0
GAME,0,4.7,1351089,10000000,0.0
SPORTS,1,4.4,35,1000,7.99
SPORTS,1,4.4,1740,50000,0.0
SPORTS,1,3.9,21,1000,0.0
GAME,0,4.2,685450,100000000,0.0
GAME,0,4.3,1167143,100000000,0.0
SPORTS,1,4.5,1526,50000,0.0
GAME,0,5.0,4,50,1.99
GAME,0,4.6,6344,500000,0.0
GAME,0,3.9,41683,1000000,0.0
GAME,0,3.8,252,10000,16.99
GAME,0,4.4,18652,100000,2.99
SPORTS,1,4.5,559262,10000000,0.0
SPORTS,1,3.3,9663,1000000,0.0
SPORTS,1,3.8,1797,100000,0.0
GAME,0,4.4,348962,1000000,6.99
GAME,0,4.5,413,1000,4.99
SPORTS,1,4.4,11506,100000,0.0
GAME,0,4.4,306,10000,0.0
SPORTS,1,3.9,7376,1000000,0.0
SPORTS,1,4.4,12029,1000000,0.0
SPORTS,1,4.9,195,5000,0.0
GAME,0,4.6,44891723,100000000,0.0
GAME,0,4.4,8923587,100000000,0.0
SPORTS,1,4.8,10,1000,0.0
SPORTS,1,4.0,22,5000,0.0
SPORTS,1,4.1,23453,1000000,0.0
GAME,0,4.4,61746,500000,0.0
GAME,0,3.8,299,10000,0.0
GAME,0,4.4,83891,10000000,0.0
GAME,0,4.4,2123793,100000000,0.0
GAME,0,4.2,70389,1000000,0.0
SPORTS,1,4.6,48226,1000000,0.0
GAME,0,4.5,306764,10000000,0.0
GAME,0,4.3,5682,50000,1.99
SPORTS,1,4.5,117,1000,0.99
SPORTS,1,3.4,552,10000,0.0
SPORTS,1,4.3,91033,5000000,0.0
GAME,0,4.6,337913,5000000,0.0
GAME,0,4.6,10795,100000,5.99
GAME,0,4.0,7718,100000,0.0
GAME,0,4.3,1841061,50000000,0.0
GAME,0,4.4,135739,5000000,0.0
GAME,0,4.3,13788,1000000,0.0
GAME,0,4.4,140658,1000000,0.0
SPORTS,1,4.6,71266,1000000,0.0
GAME,0,4.2,32849,1000000,0.0
GAME,0,4.5,152658,1000000,0.0
GAME,0,4.3,211,50000,0.0
SPORTS,1,4.1,360,10000,0.0
GAME,0,4.3,45558,5000000,0.0
GAME,0,4.1,207,50000,0.0
SPORTS,1,3.8,85,5000,0.0
GAME,0,4.5,617732,10000000,0.0
GAME,0,4.5,2586261,100000000,0.0
SPORTS,1,2.6,114,10000,0.0
SPORTS,1,4.4,708674,10000000,0.0
SPORTS,1,4.0,11151,1000000,0.0
GAME,0,3.7,53,1000,0.0
GAME,0,3.9,6200,500000,0.0
GAME,0,4.6,3073251,50000000,0.0
SPORTS,1,4.7,113,1000,0.0
GAME,0,4.0,51067,5000000,0.0
SPORTS,1,4.4,16637,1000000,0.0
SPORTS,1,4.2,277939,5000000,0.0
GAME,0,4.2,2460,50000,0.99
GAME,0,4.4,243121,5000000,0.0
GAME,0,4.6,3656,100000,0.0
GAME,0,4.7,183343,5000000,0.0
SPORTS,1,4.1,438,50000,0.0
SPORTS,1,4.7,950,100000,0.0
SPORTS,1,4.6,161143,10000000,0.0
SPORTS,1,2.1,32,1000,0.0
SPORTS,1,2.1,86,10000,0.0
GAME,0,4.7,990796,10000000,0.0
GAME,0,4.7,1535084,50000000,0.0
GAME,0,4.2,3815614,100000000,0.0
GAME,0,3.8,488,100000,0.0
SPORTS,1,4.4,867920,10000000,0.0
SPORTS,1,4.1,21195,1000000,0.0
SPORTS,1,4.6,1641,10000,0.0
GAME,0,4.4,6199095,100000000,0.0
GAME,0,4.1,68057,10000000,0.0
SPORTS,1,3.8,1797,100000,0.0
GAME,0,4.2,1012,10000,0.0
SPORTS,1,3.7,5559,500000,0.0
GAME,0,4.2,250197,5000000,0.0
GAME,0,4.5,1375988,50000000,0.0
GAME,0,4.5,1137267,50000000,0.0
SPORTS,1,4.3,13724,1000000,0.0
SPORTS,1,4.4,70769,5000000,0.0
GAME,0,4.5,197979,1000000,0.0
GAME,0,4.6,155186,10000000,0.0
SPORTS,1,3.9,9765,1000000,0.0
SPORTS,1,4.0,43611,1000000,0.0
SPORTS,1,5.0,5,100,0.0
SPORTS,1,4.4,317,50000,0.0
SPORTS,1,3.5,1151,10000,0.0
GAME,0,4.7,1125438,10000000,0.0
GAME,0,4.7,416540,10000000,0.0
GAME,0,4.3,10354,1000000,0.0
GAME,0,4.3,504765,5000000,0.0
SPORTS,1,4.7,16570,500000,0.0
SPORTS,1,3.5,50179,1000000,0.0
GAME,0,4.2,3845,500000,0.0
SPORTS,1,3.9,4272,500000,0.0
SPORTS,1,4.6,1873516,50000000,0.0
SPORTS,1,4.7,14810,1000000,0.0
SPORTS,1,5.0,3,100,0.0
SPORTS,1,4.0,2490,500000,0.0
GAME,0,4.4,2610328,100000000,0.0
SPORTS,1,4.3,218,10000,0.0
SPORTS,1,4.0,3061,100000,0.0
GAME,0,4.5,1692,10000,4.99
SPORTS,1,4.1,10067,1000000,0.0
GAME,0,4.6,2750645,100000000,0.0
GAME,0,4.3,5785,500000,0.0
GAME,0,4.4,1563,50000,0.0
SPORTS,1,4.1,459795,50000000,0.0
SPORTS,1,4.0,1577,500000,0.0
SPORTS,1,4.5,82,5000,0.0
GAME,0,4.1,10424925,100000000,0.0
GAME,0,3.7,303,100000,0.0
GAME,0,4.5,462614,10000000,0.0
GAME,0,4.7,27856,100000,2.99
SPORTS,1,4.3,7287,1000000,0.0
GAME,0,4.3,5091448,100000000,0.0
SPORTS,1,5.0,5,100,0.0
GAME,0,4.2,839206,50000000,0.0
GAME,0,4.3,22333,1000000,0.0
GAME,0,4.5,17,500,0.0
GAME,0,3.6,51366,5000000,0.0
GAME,0,4.4,3452530,100000000,0.0
GAME,0,4.5,396090,10000000,0.0
GAME,0,3.7,1221896,100000000,0.0
SPORTS,1,4.0,49479,1000000,0.0
GAME,0,4.7,292164,10000000,0.0
GAME,0,4.4,4921122,100000000,0.0
SPORTS,1,4.4,16,1000,0.0
GAME,0,3.9,1202,100000,0.0
SPORTS,1,3.1,212,50000,0.0
GAME,0,4.6,1475,10000,4.99
GAME,0,4.5,14198297,100000000,0.0
GAME,0,3.7,16073,500000,0.0
SPORTS,1,4.4,465,500000,0.0
GAME,0,4.3,1300490,50000000,0.0
SPORTS,1,4.3,401,10000,0.0
SPORTS,1,4.2,277904,5000000,0.0
GAME,0,3.5,4575,500000,0.0
SPORTS,1,3.9,357417,10000000,0.0
GAME,0,4.1,84911,10000000,0.0
GAME,0,4.5,2526,100000,0.0
GAME,0,4.6,15,50,0.0
GAME,0,4.0,120592,10000000,0.0
GAME,0,4.5,2431,100000,0.0
GAME,0,4.2,17044,5000000,0.0
SPORTS,1,4.2,277900,5000000,0.0
SPORTS,1,4.4,122280,5000000,0.0
GAME,0,4.2,2180,100000,0.0
GAME,0,4.1,10421284,100000000,0.0
SPORTS,1,4.6,24094,1000000,0.0
SPORTS,1,2.6,13,1000,0.0
SPORTS,1,3.9,592,100000,0.0
SPORTS,1,4.3,6,100,0.0
GAME,0,4.0,23168,1000000,0.0
SPORTS,1,4.0,889,100000,0.0
GAME,0,4.4,1381820,10000000,0.0
SPORTS,1,4.6,111455,5000000,0.0
GAME,0,4.2,11408,1000000,0.0
SPORTS,1,4.3,1118201,10000000,0.0
SPORTS,1,2.7,135,10000,0.0
SPORTS,1,2.6,219,50000,0.0
SPORTS,1,4.5,532,10000,0.0
SPORTS,1,4.0,42,5000,0.0
SPORTS,1,4.3,95904,10000000,0.0
GAME,0,4.3,10485334,500000000,0.0
GAME,0,4.7,1125566,10000000,0.0
SPORTS,1,3.9,73,10000,0.0
SPORTS,1,3.9,77,10000,0.0
GAME,0,4.4,38419,1000000,0.99
SPORTS,1,4.5,2,100,0.0
SPORTS,1,4.3,48253,1000000,0.0
SPORTS,1,4.0,8100,1000000,0.0
GAME,0,3.8,8482,1000000,0.0
SPORTS,1,4.2,270267,5000000,0.0
SPORTS,1,4.6,20301,1000000,0.0
GAME,0,4.1,297,50000,0.0
SPORTS,1,5.0,8,1000,0.0
GAME,0,4.5,9881829,100000000,0.0
SPORTS,1,4.2,2509,1000000,0.0
GAME,0,3.0,49,5000,0.0
SPORTS,1,4.8,527,100000,0.0
SPORTS,1,4.7,21,1000,0.0
GAME,0,4.6,7672495,100000000,0.0
GAME,0,4.6,59907,5000000,0.0
SPORTS,1,4.2,798,50000,0.0
SPORTS,1,4.6,1733,500000,0.0
GAME,0,4.3,47698,5000000,0.0
GAME,0,4.1,155,1000,2.49
GAME,0,4.6,169661,10000000,0.0
SPORTS,1,4.6,969,10000,0.0
SPORTS,1,2.3,3,500,0.0
SPORTS,1,4.6,623,50000,0.0
SPORTS,1,3.9,249855,10000000,0.0
SPORTS,1,4.7,20304,500000,0.0
GAME,0,3.7,8581,1000000,0.0
SPORTS,1,3.9,5644,1000000,0.0
GAME,0,4.3,5731,1000000,0.0
GAME,0,2.8,9,500,0.0
GAME,0,4.2,4537,100000,0.0
GAME,0,4.5,14200344,100000000,0.0
SPORTS,1,4.4,13565,1000000,0.0
SPORTS,1,4.5,180938,10000000,0.0
GAME,0,3.8,270687,10000000,0.0
SPORTS,1,3.3,10,1000,0.0
GAME,0,4.5,114479,5000000,0.0
SPORTS,1,3.3,64,5000,0.0
SPORTS,1,4.6,251534,10000000,0.0
SPORTS,1,5.0,2,500,0.0
GAME,0,4.2,16876,1000000,0.0
GAME,0,3.6,182,50000,0.0
SPORTS,1,4.0,3,1000,0.0
GAME,0,4.6,12,50,0.0
GAME,0,4.4,1604146,10000000,0.0
SPORTS,1,4.5,32386,1000000,0.0
GAME,0,4.4,37023,10000000,0.0
GAME,0,4.0,127831,10000000,0.0
GAME,0,4.6,137338,5000000,0.0
GAME,0,4.0,90218,1000000,0.0
SPORTS,1,3.8,19221,5000000,0.0
GAME,0,4.2,33,1000,0.0
GAME,0,4.2,369203,50000000,0.0
SPORTS,1,4.7,407589,10000000,0.0
GAME,0,4.3,30002,1000000,0.0
SPORTS,1,4.1,18539,1000000,0.0
GAME,0,4.0,428268,10000000,0.0
GAME,0,4.3,421000,10000000,0.0
GAME,0,4.4,7412,100000,4.99
GAME,0,3.4,13,1000,0.0
GAME,0,2.7,1486,100000,0.0
GAME,0,4.2,26247,1000000,0.0
SPORTS,1,4.1,111465,5000000,0.0
SPORTS,1,4.2,23164,1000000,0.0
SPORTS,1,4.4,32881,1000000,0.0
SPORTS,1,4.3,752,100000,0.0
SPORTS,1,3.7,41917,10000000,0.0
SPORTS,1,4.2,1324,100000,0.0
SPORTS,1,4.6,549,50000,0.0
GAME,0,4.6,44893888,100000000,0.0
SPORTS,1,5.0,3,100,0.0
GAME,0,4.0,121082,10000000,0.0
GAME,0,4.2,4,10,0.0
GAME,0,5.0,2,1,0.99
SPORTS,1,4.7,1133393,10000000,0.0
SPORTS,1,3.2,16168,1000000,0.0
GAME,0,4.5,14201891,100000000,0.0
GAME,0,4.3,697805,50000000,0.0
SPORTS,1,4.3,1288,100000,0.0
GAME,0,3.8,35572,1000000,0.0
GAME,0,4.5,655067,10000000,0.0
SPORTS,1,4.5,459,10000,0.0
SPORTS,1,4.0,43611,1000000,0.0
SPORTS,1,4.8,10249,10000,2.49
SPORTS,1,4.3,91031,5000000,0.0
GAME,0,4.4,2610680,100000000,0.0
GAME,0,4.5,10748,1000000,0.0
GAME,0,4.6,8,100,0.99
GAME,0,4.6,267229,10000000,0.0
SPORTS,1,4.5,93691,5000000,0.0
SPORTS,1,4.5,233243,5000000,0.0
SPORTS,1,4.6,109756,5000000,0.0
SPORTS,1,3.0,9,1000,0.0
GAME,0,3.9,6988,100000,0.0
GAME,0,3.8,4719,500000,0.0
SPORTS,1,4.3,7895,500000,0.0
SPORTS,1,3.7,20879,1000000,0.0
SPORTS,1,4.5,14394,500000,0.0
GAME,0,4.3,56496,1000000,0.0
SPORTS,1,4.2,270294,5000000,0.0
GAME,0,3.8,10,1000,0.0
GAME,0,4.3,23043,5000000,0.0
GAME,0,4.1,104583,1000000,0.0
GAME,0,4.2,1498648,100000000,0.0
GAME,0,4.5,2308916,10000000,0.0
SPORTS,1,4.7,19,1000,0.0
GAME,0,3.8,17,1000,0.0
GAME,0,4.4,18621,100000,2.99
GAME,0,4.3,213340,10000000,0.0
GAME,0,4.2,340,50000,0.0
SPORTS,1,2.4,221,10000,0.0
GAME,0,4.4,4067651,100000000,0.0
GAME,0,4.3,34494,5000000,0.0
GAME,0,4.4,4066980,100000000,0.0
GAME,0,3.3,5290,500000,0.0
GAME,0,4.2,195558,10000000,0.0
SPORTS,1,3.9,188834,10000000,0.0
SPORTS,1,4.7,759,50000,0.0
GAME,0,4.0,368,50000,0.0
SPORTS,1,3.2,499,100000,0.0
GAME,0,4.4,10786,1000000,0.0
SPORTS,1,3.8,52,10000,0.0
GAME,0,4.2,212067,10000000,0.0
SPORTS,1,3.3,1045,100000,0.0
GAME,0,4.5,16162,100000,2.99
GAME,0,4.3,183,10000,0.0
GAME,0,4.3,25952,500000,0.0
GAME,0,4.6,19070,100000,0.0
SPORTS,1,4.1,7,100,3.49
GAME,0,4.5,1914,100000,0.0
GAME,0,4.4,11023,100000,3.99
GAME,0,4.5,4449910,100000000,0.0
GAME,0,4.6,291941,10000000,0.0
GAME,0,4.1,154519,10000000,0.0
SPORTS,1,4.4,70416,5000000,0.0
SPORTS,1,3.5,7869,1000000,0.0
SPORTS,1,5.0,4,50,0.0
SPORTS,1,3.6,25,1000,3.99
GAME,0,4.5,4972230,100000000,0.0
GAME,0,4.6,23136735,100000000,0.0
GAME,0,4.5,592282,50000000,0.0
SPORTS,1,4.5,2943,100000,0.0
SPORTS,1,4.5,398307,10000000,0.0
SPORTS,1,4.4,1721943,10000000,0.0
SPORTS,1,4.6,28,1000,0.0
GAME,0,3.6,517,50000,0.0
GAME,0,4.4,74673,10000000,0.0
SPORTS,1,3.9,76346,5000000,0.0
GAME,0,4.2,924,100000,0.0
GAME,0,4.6,2027,100000,0.0
SPORTS,1,4.8,4559407,100000000,0.0
SPORTS,1,4.9,82,5000,0.0
GAME,0,4.7,403911,10000000,0.0
SPORTS,1,3.9,282727,10000000,0.0
GAME,0,4.1,166251,5000000,0.0
SPORTS,1,5.0,32,1000,0.0
SPORTS,1,2.9,6627,500000,0.0
GAME,0,4.5,1385093,100000000,0.0
GAME,0,4.5,910051,10000000,0.0
SPORTS,1,4.0,7808,1000000,0.0
GAME,0,4.3,42053,10000000,0.0
GAME,0,4.3,54221,1000000,0.0
GAME,0,4.4,275447,10000000,0.0
GAME,0,4.2,1485806,100000000,0.0
GAME,0,4.2,51791,1000000,0.0
GAME,0,4.1,2208,500000,0.0
GAME,0,4.2,3946,100000,0.0
SPORTS,1,4.4,122282,5000000,0.0
SPORTS,1,4.1,288809,10000000,0.0
GAME,0,4.0,505,10000,0.0
SPORTS,1,4.3,63580,5000000,0.0
SPORTS,1,4.2,3448,100000,0.0
SPORTS,1,4.0,176487,5000000,0.0
GAME,0,4.4,21,5000,0.0
SPORTS,1,4.2,15068,1000000,0.0
SPORTS,1,3.6,1067,100000,0.0
GAME,0,4.1,4107,50000,4.99
GAME,0,4.5,189773,5000000,0.0
GAME,0,4.3,1295625,100000000,0.0
SPORTS,1,2.8,3187,100000,0.0
GAME,0,4.6,1226514,10000000,0.0
SPORTS,1,4.1,360,10000,0.0
SPORTS,1,4.2,29756,1000000,0.0
SPORTS,1,4.4,3451011,50000000,0.0
SPORTS,1,4.8,3346,50000,0.0
GAME,0,3.3,19291,1000000,0.0
GAME,0,4.4,161637,10000000,0.0
SPORTS,1,4.4,38343,1000000,0.0
GAME,0,4.7,1535973,50000000,0.0
GAME,0,4.4,12736,1000000,0.0
GAME,0,3.9,29990,1000000,0.0
GAME,0,3.8,4116,100000,0.0
SPORTS,1,4.5,11,1000,0.0
SPORTS,1,3.6,67,5000,0.0
GAME,0,4.5,354373,10000000,0.0
GAME,0,4.4,153649,10000000,0.0
GAME,0,4.5,73539,1000000,0.0
SPORTS,1,4.3,39878,1000000,0.0
GAME,0,4.2,422244,50000000,0.0
SPORTS,1,4.2,2563,100000,0.0
SPORTS,1,4.1,91935,10000000,0.0
GAME,0,4.7,15,100,0.99
SPORTS,1,4.6,2019,100000,0.0
GAME,0,4.2,109263,1000000,0.0
SPORTS,1,3.9,2042,100000,0.0
GAME,0,4.4,2975,50000,1.99
SPORTS,1,4.8,221722,10000000,0.0
GAME,0,4.7,6187,100000,0.0
SPORTS,1,3.5,8,1000,0.0
SPORTS,1,4.9,301,10000,0.0
SPORTS,1,4.2,894,50000,0.0
SPORTS,1,5.0,2,100,0.0
GAME,0,3.4,107778,10000000,0.0
GAME,0,4.5,3777822,100000000,0.0
SPORTS,1,4.3,33572,1000000,0.0
SPORTS,1,4.7,50294,1000000,0.0
GAME,0,3.8,1363,100000,0.0
SPORTS,1,4.3,7543,500000,0.0
SPORTS,1,4.6,48226,1000000,0.0
SPORTS,1,4.8,5103,100000,0.0
SPORTS,1,4.4,39364,5000000,0.0
GAME,0,3.9,2588,100000,0.0
GAME,0,4.2,1092106,50000000,0.0
GAME,0,4.2,640974,50000000,0.0
GAME,0,4.0,301895,50000000,0.0
SPORTS,1,4.5,53652,1000000,0.0
GAME,0,4.4,452589,10000000,0.0
SPORTS,1,3.9,76340,5000000,0.0
SPORTS,1,4.6,51357,5000000,0.0
GAME,0,4.4,41975,1000000,0.0
GAME,0,4.1,14002,1000000,0.0
GAME,0,4.6,4578476,50000000,0.0
GAME,0,4.6,515240,10000000,0.0
SPORTS,1,4.5,144040,5000000,0.0
SPORTS,1,3.0,552,50000,0.0
SPORTS,1,4.9,42,1000,0.0
GAME,0,4.8,8191,100000,0.0
GAME,0,4.5,343263,10000000,0.0
SPORTS,1,4.6,147,10000,0.0
SPORTS,1,4.0,28895,5000000,0.0
SPORTS,1,4.6,815893,10000000,0.0
SPORTS,1,3.3,974,10000,0.0
SPORTS,1,4.5,7457,1000000,0.0
GAME,0,4.3,696019,50000000,0.0
SPORTS,1,4.2,43191,5000000,0.0
SPORTS,1,4.5,31,1000,0.0
GAME,0,3.5,196,10000,0.0
GAME,0,3.3,294,10000,0.0
GAME,0,4.4,212524,5000000,0.0
GAME,0,4.5,5387639,100000000,0.0
SPORTS,1,4.5,1886,500000,0.0
SPORTS,1,4.6,251534,10000000,0.0
SPORTS,1,3.8,718,10000,399.99
GAME,0,4.6,214878,10000000,0.0
GAME,0,4.3,1489,100000,0.0
GAME,0,4.6,506275,10000000,0.0
SPORTS,1,4.7,6,100,0.0
SPORTS,1,4.5,9116,500000,0.0
GAME,0,4.4,5565856,100000000,0.0
SPORTS,1,4.3,34062,1000000,0.0
SPORTS,1,4.0,68935,5000000,0.0
GAME,0,4.3,2468915,50000000,0.0
SPORTS,1,4.5,27439,1000000,0.0
SPORTS,1,4.6,990,100000,0.0
SPORTS,1,5.0,33,500,0.0
SPORTS,1,3.1,500,50000,0.0
SPORTS,1,4.0,2487,1000000,0.0
GAME,0,4.5,32344,1000000,0.99
SPORTS,1,5.0,10,1000,0.0
GAME,0,4.4,22428456,500000000,0.0
GAME,0,4.6,152395,10000000,0.0
GAME,0,4.3,1305050,50000000,0.0
GAME,0,4.4,3715656,50000000,0.0
SPORTS,1,4.6,77563,10000000,0.0
GAME,0,4.4,1107197,10000000,0.0
GAME,0,4.6,44891723,100000000,0.0
GAME,0,4.5,1138239,50000000,0.0
SPORTS,1,4.1,10,1000,0.0
SPORTS,1,4.5,27439,1000000,0.0
GAME,0,4.3,22773,1000000,0.0
GAME,0,3.9,1290,100000,0.0
SPORTS,1,4.3,1539,50000,0.0
GAME,0,4.4,1644,10000,7.99
GAME,0,4.6,1327269,50000000,0.0
GAME,0,4.3,955614,10000000,0.0
GAME,0,4.2,13004,100000,6.99
SPORTS,1,4.3,7557,100000,0.0
GAME,0,3.4,5,50,0.0
GAME,0,4.1,5341,100000,0.0
GAME,0,4.1,753043,100000000,0.0
GAME,0,4.8,526595,10000000,0.0
SPORTS,1,4.3,4848,1000000,0.0
GAME,0,4.4,105620,1000000,0.0
SPORTS,1,4.6,115721,10000000,0.0
GAME,0,4.1,71476,1000000,0.0
SPORTS,1,3.8,38,5000,0.0
GAME,0,4.1,42079,5000000,0.0
SPORTS,1,3.5,155,10000,0.0
GAME,0,4.2,55014,1000000,0.0
GAME,0,4.2,951,100000,0.0
GAME,0,3.9,2362,100000,0.0
GAME,0,4.0,29462,1000000,0.0
SPORTS,1,4.6,20161,1000000,0.0
GAME,0,4.1,91667,1000000,0.0
GAME,0,3.8,21423,1000000,0.0
GAME,0,4.2,128579,5000000,0.0
SPORTS,1,2.4,577,50000,0.0
SPORTS,1,4.2,82883,5000000,0.0
GAME,0,4.6,1123190,10000000,0.0
GAME,0,4.3,1295557,100000000,0.0
GAME,0,4.5,10440,50000,4.99
GAME,0,4.5,2032,50000,0.0
SPORTS,1,4.9,15883,100000,0.0
SPORTS,1,3.8,76,1000,4.99
SPORTS,1,3.9,1638,100000,0.0
GAME,0,4.2,5442,100000,0.0
GAME,0,4.5,1468591,50000000,0.0
GAME,0,4.2,3878,500000,0.0
SPORTS,1,4.2,277902,5000000,0.0
SPORTS,1,4.6,666521,10000000,0.0
SPORTS,1,4.0,53144,5000000,0.0
GAME,0,3.8,17372,1000000,0.0
GAME,0,4.2,47340,1000000,0.0
GAME,0,4.7,4328,100000,2.99
GAME,0,4.6,48256,1000000,0.0
GAME,0,4.1,1468,10000,4.99
GAME,0,4.3,247,10000,0.0
SPORTS,1,5.0,1,50,0.0
GAME,0,3.9,168,5000,1.99
GAME,0,4.3,187200,10000000,0.0
SPORTS,1,4.6,13098,1000000,0.0
GAME,0,4.6,58575,1000000,0.0
SPORTS,1,5.0,7,1000,0.0
GAME,0,4.5,38207,100000,9.99
GAME,0,4.6,23134775,100000000,0.0
SPORTS,1,3.0,859,100000,0.0
GAME,0,4.6,337752,5000000,0.0
GAME,0,3.6,2433,100000,0.0
GAME,0,4.5,27711703,1000000000,0.0
SPORTS,1,4.6,1238,100000,0.0
SPORTS,1,4.6,518,50000,0.0
SPORTS,1,4.6,77563,10000000,0.0
SPORTS,1,4.7,1566,50000,0.0
SPORTS,1,4.5,233243,5000000,0.0
GAME,0,4.4,5566805,100000000,0.0
GAME,0,4.5,8389714,100000000,0.0
SPORTS,1,3.5,1689,100000,0.0
SPORTS,1,3.7,492,50000,0.0
